1.39  -7.32214  -8.18221  23.5139
1.4  -7.41243  -8.3571  23.4964
1.41  -7.51087  -8.53405  23.4999
1.42  -7.61683  -8.71172  23.5252
1.43  -7.7296  -8.88865  23.5725
1.44  -7.84837  -9.06327  23.6421
1.45  -7.97227  -9.23388  23.7342
1.46  -8.10036  -9.3987  23.8485
1.47  -8.23158  -9.55583  23.9848
1.48  -8.36482  -9.70332  24.1423
1.49  -8.49887  -9.83918  24.3202
1.5  -8.63244  -9.96138  24.5172
1.51  -8.76419  -10.068  24.7318
1.52  -8.89271  -10.157  24.9622
1.53  -9.01656  -10.2267  25.2062
1.54  -9.13424  -10.2754  25.4612
1.55  -9.2443  -10.3019  25.7244
1.56  -9.34528  -10.3049  25.9928
1.57  -9.43577  -10.2838  26.2631
1.58  -9.51447  -10.2383  26.5317
1.59  -9.58015  -10.1683  26.7951
1.6  -9.63176  -10.0744  27.0497
1.61  -9.66842  -9.95763  27.2919
1.62  -9.68941  -9.81936  27.5185
1.63  -9.69429  -9.66145  27.7262
1.64  -9.68281  -9.48614  27.9121
1.65  -9.655  -9.296  28.0738
1.66  -9.61114  -9.09385  28.2093
1.67  -9.55176  -8.8827  28.3169
1.68  -9.47763  -8.66566  28.3957
1.69  -9.38973  -8.44587  28.445
1.7  -9.28928  -8.22639  28.4648
1.71  -9.17764  -8.01016  28.4554
1.72  -9.05631  -7.79992  28.4178
1.73  -8.92691  -7.59815  28.353
1.74  -8.79113  -7.40707  28.2627
1.75  -8.65068  -7.22858  28.1486
1.76  -8.50728  -7.06425  28.0128
1.77  -8.36263  -6.91534  27.8573
1.78  -8.21836  -6.78282  27.6844
1.79  -8.07603  -6.66737  27.4964
1.8  -7.93709  -6.56939  27.2956
1.81  -7.80291  -6.48908  27.0843
1.82  -7.67472  -6.42642  26.8645
1.83  -7.5536  -6.38126  26.6386
1.84  -7.44055  -6.35327  26.4085
1.85  -7.33641  -6.34206  26.1762
1.86  -7.2419  -6.34713  25.9436
1.87  -7.15764  -6.36793  25.7125
1.88  -7.08411  -6.40389  25.4844
1.89  -7.02171  -6.45438  25.2611
1.9  -6.97073  -6.51879  25.0441
1.91  -6.93138  -6.59648  24.8347
1.92  -6.90378  -6.68681  24.6345
1.93  -6.88799  -6.78915  24.4446
1.94  -6.884  -6.90284  24.2664
1.95  -6.89172  -7.02723  24.1012
1.96  -6.91104  -7.16162  23.95
1.97  -6.94177  -7.30532  23.8141
1.98  -6.98367  -7.45758  23.6945
1.99  -7.03645  -7.61758  23.5924
2  -7.09977  -7.78448  23.5086
2.01  -7.17325  -7.95732  23.4442
2.02  -7.25643  -8.1351  23.4001
2.03  -7.3488  -8.31667  23.3771
2.04  -7.4498  -8.50081  23.3759
2.05  -7.55878  -8.68615  23.3972
2.06  -7.67502  -8.87123  23.4414
2.07  -7.79774  -9.05443  23.5088
2.08  -7.92605  -9.23401  23.5997
2.09  -8.059  -9.40813  23.7139
2.1  -8.19551  -9.57484  23.8512
2.11  -8.33446  -9.73207  24.011
2.12  -8.47461  -9.87772  24.1925
2.13  -8.61463  -10.0096  24.3945
2.14  -8.75313  -10.1257  24.6155
2.15  -8.88865  -10.2239  24.8536
2.16  -9.01967  -10.3022  25.1067
2.17  -9.14464  -10.3588  25.3721
2.18  -9.26199  -10.3923  25.647
2.19  -9.37018  -10.4012  25.9282
2.2  -9.46771  -10.3849  26.2122
2.21  -9.55315  -10.3426  26.4954
2.22  -9.62519  -10.2745  26.774
2.23  -9.68265  -10.1809  27.0441
2.24  -9.72453  -10.0627  27.3019
2.25  -9.75006  -9.92144  27.5439
2.26  -9.75867  -9.75893  27.7665
2.27  -9.75005  -9.5775  27.9667
2.28  -9.72419  -9.37982  28.1418
2.29  -9.68131  -9.16888  28.2894
2.3  -9.62192  -8.94788  28.4078
2.31  -9.5468  -8.72013  28.4959
2.32  -9.45696  -8.48897  28.5529
2.33  -9.35365  -8.25771  28.5787
2.34  -9.23828  -8.02951  28.5737
2.35  -9.11244  -7.8073  28.5387
2.36  -8.97783  -7.59378  28.475
2.37  -8.83623  -7.39132  28.3841
2.38  -8.68946  -7.20196  28.2681
2.39  -8.53934  -7.02741  28.1289
2.4  -8.38767  -6.86902  27.9688
2.41  -8.23618  -6.7278  27.7903
2.42  -8.08653  -6.60447  27.5957
2.43  -7.94026  -6.49946  27.3875
2.44  -7.79882  -6.41297  27.168
2.45  -7.66351  -6.34496  26.9396
2.46  -7.53548  -6.29524  26.7044
2.47  -7.41578  -6.26347  26.4648
2.48  -7.30529  -6.24919  26.2226
2.49  -7.20479  -6.25188  25.9799
2.5  -7.1149  -6.27094  25.7385
2.51  -7.03615  -6.30576  25.5001
2.52  -6.96894  -6.35568  25.2664
2.53  -6.91359  -6.42006  25.0389
2.54  -6.8703  -6.49822  24.8192
2.55  -6.8392  -6.58953  24.6086
2.56  -6.82037  -6.69332  24.4085
2.57  -6.81378  -6.80895  24.2202
2.58  -6.81937  -6.93574  24.0451
2.59  -6.837  -7.07302  23.8842
2.6  -6.8665  -7.22009  23.7388
2.61  -6.90763  -7.37623  23.61
2.62  -6.96012  -7.54063  23.499
2.63  -7.02362  -7.71247  23.4068
2.64  -7.09775  -7.89081  23.3344
2.65  -7.18207  -8.07466  23.2827
2.66  -7.27609  -8.26289  23.2527
2.67  -7.37923  -8.45428  23.2453
2.68  -7.49088  -8.64747  23.2609
2.69  -7.6103  -8.84098  23.3004
2.7  -7.73673  -9.03319  23.364
2.71  -7.86929  -9.22232  23.4521
2.72  -8.007  -9.40648  23.5647
2.73  -8.14881  -9.58363  23.7016
2.74  -8.29356  -9.75164  23.8623
2.75  -8.43999  -9.9083  24.0461
2.76  -8.58676  -10.0513  24.2519
2.77  -8.73241  -10.1785  24.4783
2.78  -8.87545  -10.2874  24.7234
2.79  -9.01428  -10.3761  24.985
2.8  -9.14727  -10.4426  25.2606
2.81  -9.27278  -10.4849  25.5472
2.82  -9.38916  -10.5019  25.8414
2.83  -9.49479  -10.4922  26.1398
2.84  -9.58813  -10.4552  26.4384
2.85  -9.66775  -10.3908  26.7333
2.86  -9.73233  -10.2991  27.0204
2.87  -9.78077  -10.1812  27.2956
2.88  -9.81215  -10.0383  27.5549
2.89  -9.82581  -9.87223  27.7947
2.9  -9.82135  -9.68549  28.0115
2.91  -9.79865  -9.48082  28.2023
2.92  -9.75789  -9.26134  28.3646
2.93  -9.69955  -9.03044  28.4964
2.94  -9.62437  -8.79164  28.5963
2.95  -9.53338  -8.54854  28.6634
2.96  -9.42786  -8.30468  28.6975
2.97  -9.30927  -8.06348  28.6989
2.98  -9.17928  -7.82812  28.6685
2.99  -9.03966  -7.60151  28.6076
3  -8.89229  -7.38625  28.5177
3.01  -8.73909  -7.18455  28.401
3.02  -8.58202  -6.99825  28.2595
3.03  -8.42297  -6.82883  28.0958
3.04  -8.2638  -6.67739  27.9123
3.05  -8.10626  -6.5447  27.7116
3.06  -7.95202  -6.43123  27.4963
3.07  -7.80259  -6.33718  27.2688
3.08  -7.65937  -6.2625  27.0317
3.09  -7.52361  -6.20698  26.7872
3.1  -7.39639  -6.17023  26.5377
3.11  -7.27867  -6.15178  26.2853
3.12  -7.17126  -6.15103  26.032
3.13  -7.07483  -6.16737  25.7798
3.14  -6.98993  -6.20012  25.5303
3.15  -6.91699  -6.24859  25.2855
3.16  -6.85634  -6.31211  25.0467
3.17  -6.8082  -6.38997  24.8157
3.18  -6.77273  -6.48151  24.5938
3.19  -6.74997  -6.58605  24.3824
3.2  -6.73993  -6.70293  24.183
3.21  -6.74254  -6.8315  23.9966
3.22  -6.75767  -6.97108  23.8248
3.23  -6.78515  -7.12099  23.6686
3.24  -6.82476  -7.2805  23.5292
3.25  -6.8762  -7.44887  23.4078
3.26  -6.93917  -7.62526  23.3055
3.27  -7.01329  -7.80878  23.2235
3.28  -7.09812  -7.99846  23.1626
3.29  -7.19318  -8.1932  23.1239
3.3  -7.29793  -8.3918  23.1083
3.31  -7.41174  -8.59292  23.1166
3.32  -7.53392  -8.79508  23.1494
3.33  -7.6637  -8.99665  23.2073
3.34  -7.80021  -9.19585  23.2907
3.35  -7.94249  -9.39073  23.3998
3.36  -8.08948  -9.57921  23.5344
3.37  -8.24003  -9.75909  23.6942
3.38  -8.39286  -9.92803  23.8787
3.39  -8.54659  -10.0836  24.0868
3.4  -8.69976  -10.2235  24.3172
3.41  -8.8508  -10.3452  24.5681
3.42  -8.99808  -10.4463  24.8374
3.43  -9.13988  -10.5247  25.1224
3.44  -9.27446  -10.5784  25.4203
3.45  -9.40008  -10.6057  25.7277
3.46  -9.51501  -10.6051  26.0408
3.47  -9.61756  -10.5759  26.3556
3.48  -9.70616  -10.5175  26.668
3.49  -9.77937  -10.4301  26.9736
3.5  -9.83592  -10.3144  27.268
3.51  -9.87475  -10.1716  27.5469
3.52  -9.89507  -10.0037  27.8063
3.53  -9.89635  -9.81286  28.0424
3.54  -9.87835  -9.6021  28.2519
3.55  -9.84118  -9.37462  28.4319
3.56  -9.78523  -9.13401  28.58
3.57  -9.71122  -8.884  28.6947
3.58  -9.62017  -8.62846  28.7749
3.59  -9.51335  -8.3712  28.8202
3.6  -9.39228  -8.11592  28.8308
3.61  -9.25868  -7.8661  28.8074
3.62  -9.11441  -7.62492  28.7515
3.63  -8.96145  -7.39521  28.6646
3.64  -8.80185  -7.17942  28.5489
3.65  -8.63765  -6.97957  28.4066
3.66  -8.4709  -6.7973  28.2404
3.67  -8.30358  -6.63382  28.053
3.68  -8.13756  -6.48998  27.8469
3.69  -7.97463  -6.36631  27.6249
3.7  -7.81642  -6.26301  27.3898
3.71  -7.66442  -6.18006  27.1441
3.72  -7.51997  -6.11721  26.8903
3.73  -7.38423  -6.07406  26.6307
3.74  -7.25825  -6.05007  26.3677
3.75  -7.14286  -6.04462  26.1034
3.76  -7.03881  -6.05703  25.8397
3.77  -6.94668  -6.08657  25.5786
3.78  -6.86693  -6.13253  25.3217
3.79  -6.7999  -6.19417  25.0709
3.8  -6.74585  -6.27077  24.8275
3.81  -6.70492  -6.36163  24.5932
3.82  -6.6772  -6.46605  24.3694
3.83  -6.66268  -6.58338  24.1575
3.84  -6.66131  -6.71294  23.9587
3.85  -6.67296  -6.85407  23.7745
3.86  -6.69747  -7.00611  23.6059
3.87  -6.73461  -7.16835  23.4543
3.88  -6.78412  -7.34006  23.3209
3.89  -6.84568  -7.52046  23.2069
3.9  -6.91894  -7.70868  23.1133
3.91  -7.00349  -7.9038  23.0412
3.92  -7.09884  -8.10474  22.9918
3.93  -7.20448  -8.31036  22.966
3.94  -7.3198  -8.51933  22.9647
3.95  -7.44415  -8.73021  22.9887
3.96  -7.57675  -8.94138  23.0386
3.97  -7.71678  -9.15105  23.115
3.98  -7.86328  -9.35727  23.2182
3.99  -8.01521  -9.55792  23.3483
4  -8.17141  -9.75072  23.505
4.01  -8.33063  -9.93326  23.688
4.02  -8.49146  -10.103  23.8963
4.03  -8.65242  -10.2574  24.1288
4.04  -8.81191  -10.3939  24.3839
4.05  -8.96823  -10.5098  24.6594
4.06  -9.11961  -10.6027  24.9529
4.07  -9.26423  -10.6704  25.2614
4.08  -9.40022  -10.7108  25.5815
4.09  -9.52573  -10.7224  25.9094
4.1  -9.63895  -10.7038  26.241
4.11  -9.73815  -10.6545  26.5718
4.12  -9.82171  -10.5742  26.8973
4.13  -9.88819  -10.4634  27.2129
4.14  -9.93638  -10.3233  27.5137
4.15  -9.9653  -10.1555  27.7955
4.16  -9.97425  -9.9625  28.054
4.17  -9.96288  -9.74707  28.2855
4.18  -9.93113  -9.5126  28.4867
4.19  -9.87933  -9.26282  28.6549
4.2  -9.8081  -9.00173  28.7881
4.21  -9.71843  -8.73342  28.885
4.22  -9.61157  -8.46205  28.9449
4.23  -9.48908  -8.19162  28.968
4.24  -9.3527  -7.92594  28.9549
4.25  -9.2044  -7.66853  28.9069
4.26  -9.04624  -7.42252  28.8256
4.27  -8.88038  -7.19063  28.7132
4.28  -8.70902  -6.97512  28.5722
4.29  -8.53432  -6.77782  28.4052
4.3  -8.35841  -6.60011  28.2151
4.31  -8.18332  -6.44296  28.0047
4.32  -8.01095  -6.30696  27.7769
4.33  -7.84308  -6.19238  27.5347
4.34  -7.68132  -6.09919  27.2807
4.35  -7.52711  -6.02716  27.0176
4.36  -7.38173  -5.97584  26.7479
4.37  -7.24627  -5.94465  26.474
4.38  -7.12169  -5.93293  26.1982
4.39  -7.00876  -5.93994  25.9225
4.4  -6.90812  -5.96491  25.6489
4.41  -6.82026  -6.00705  25.3793
4.42  -6.74558  -6.06559  25.1153
4.43  -6.68434  -6.13976  24.8586
4.44  -6.63671  -6.22882  24.6108
4.45  -6.60278  -6.33207  24.3733
4.46  -6.58256  -6.44882  24.1476
4.47  -6.576  -6.5784  23.9349
4.48  -6.58299  -6.72016  23.7367
4.49  -6.60337  -6.87343  23.5541
4.5  -6.63693  -7.03755  23.3886
4.51  -6.6834  -7.21181  23.2413
4.52  -6.7425  -7.39547  23.1135
4.53  -6.81387  -7.58771  23.0063
4.54  -6.89713  -7.78765  22.9209
4.55  -6.99182  -7.99429  22.8584
4.56  -7.09745  -8.20651  22.82
4.57  -7.21343  -8.42306  22.8066
4.58  -7.33914  -8.64253  22.8191
4.59  -7.47386  -8.86334  22.8584
4.6  -7.61675  -9.08372  22.9251
4.61  -7.76693  -9.30174  23.0196
4.62  -7.92336  -9.51525  23.1423
4.63  -8.08491  -9.72194  23.2932
4.64  -8.25032  -9.91934  23.4719
4.65  -8.41823  -10.1048  23.6778
4.66  -8.58712  -10.2757  23.91
4.67  -8.75538  -10.4291  24.1668
4.68  -8.92126  -10.5623  24.4466
4.69  -9.08295  -10.6725  24.7467
4.7  -9.23853  -10.7573  25.0645
4.71  -9.38605  -10.8143  25.3964
4.72  -9.52352  -10.8415  25.7387
4.73  -9.64899  -10.8373  26.0872
4.74  -9.76056  -10.8006  26.4372
4.75  -9.85643  -10.7311  26.7839
4.76  -9.93497  -10.6288  27.1224
4.77  -9.99475  -10.4946  27.4477
4.78  -10.0346  -10.33  27.7548
4.79  -10.0536  -10.1373  28.0391
4.8  -10.0512  -9.91939  28.2963
4.81  -10.0272  -9.67957  28.5228
4.82  -9.98179  -9.42176  28.7154
4.83  -9.91545  -9.15013  28.8716
4.84  -9.82908  -8.86909  28.9897
4.85  -9.72391  -8.5831  29.0688
4.86  -9.60148  -8.29654  29.1086
4.87  -9.46356  -8.01361  29.1098
4.88  -9.31219  -7.73819  29.0733
