0.01  0.917928  0.266336  0.00126369
0.02  0.867924  0.511734  0.00465509
0.03  0.845366  0.744646  0.0098354
0.04  0.846812  0.972323  0.016734
0.05  0.869792  1.20112  0.0254856
0.06  0.912646  1.43676  0.0364005
0.07  0.974391  1.68451  0.0499575
0.08  1.05463  1.9494  0.0668151
0.09  1.15346  2.23633  0.087838
0.1  1.27146  2.55023  0.114138
0.11  1.40961  2.89615  0.147131
0.12  1.56929  3.27934  0.18861
0.13  1.75227  3.70535  0.240842
0.14  1.96069  4.1801  0.306687
0.15  2.19706  4.70988  0.389744
0.16  2.46428  5.30144  0.494544
0.17  2.76565  5.96193  0.626767
0.18  3.10483  6.69885  0.793531
0.19  3.48586  7.51999  1.00371
0.2  3.91317  8.43314  1.26836
0.21  4.39148  9.44585  1.60111
0.22  4.92573  10.5649  2.01876
0.23  5.521  11.7955  2.54172
0.24  6.18225  13.1404  3.19461
0.25  6.91406  14.5985  4.00662
0.26  7.72021  16.1628  5.01174
0.27  8.60307  17.8181  6.24844
0.28  9.56282  19.5381  7.7587
0.29  10.5965  21.2823  9.58577
0.3  11.6966  22.9923  11.7705
0.31  12.8501  24.5892  14.3454
0.32  14.0363  25.9728  17.3265
0.33  15.2262  27.0235  20.7035
0.34  16.3814  27.6094  24.4283
0.35  17.4546  27.5999  28.4061
0.36  18.3914  26.8847  32.4911
0.37  19.1339  25.398  36.4919
0.38  19.6267  23.1401  40.1886
0.39  19.8233  20.1914  43.3622
0.4  19.6933  16.7103  45.8294
0.41  19.2274  12.914  47.4747
0.42  18.439  9.04406  48.2686
0.43  17.3632  5.32872  48.2673
0.44  16.0513  1.95033  47.5945
0.45  14.5642  -0.972264  46.4124
0.46  12.9649  -3.38591  44.8916
0.47  11.3127  -5.29296  43.1878
0.48  9.6593  -6.73496  41.4272
0.49  8.04594  -7.77561  39.7024
0.5  6.50359  -8.48677  38.0738
0.51  5.05342  -8.93864  36.5755
0.52  3.7082  -9.19414  35.2219
0.53  2.474  -9.30636  34.0138
0.54  1.35173  -9.31825  32.9439
0.55  0.33858  -9.26342  32.0005
0.56  -0.57077  -9.16742  31.1699
0.57  -1.38325  -9.04928  30.4383
0.58  -2.10667  -8.92286  29.7927
0.59  -2.74924  -8.79802  29.2216
0.6  -3.31913  -8.68159  28.7149
0.61  -3.82432  -8.57815  28.2639
0.62  -4.27233  -8.49058  27.8614
0.63  -4.67022  -8.42056  27.5016
0.64  -5.02446  -8.36885  27.1798
0.65  -5.34097  -8.33556  26.8919
0.66  -5.62506  -8.32032  26.635
0.67  -5.88152  -8.32244  26.4067
0.68  -6.11457  -8.34094  26.2051
0.69  -6.32796  -8.37472  26.0287
0.7  -6.52494  -8.4225  25.8765
0.71  -6.70834  -8.48292  25.7475
0.72  -6.8806  -8.55456  25.6412
0.73  -7.04376  -8.63592  25.557
0.74  -7.19955  -8.72548  25.4946
0.75  -7.34936  -8.82163  25.4536
0.76  -7.49433  -8.92279  25.4337
0.77  -7.6353  -9.02728  25.4344
0.78  -7.77289  -9.13346  25.4555
0.79  -7.90751  -9.2396  25.4965
0.8  -8.03935  -9.34402  25.5568
0.81  -8.16842  -9.445  25.6356
